SourceID,Citation,Geographic_scope,Title,Author1,Author 2,Year,Publisher,Link
119,"Hyde, K.D. (1990). A study of the vertical zonation of intertidal fungi on Rhiziphora apiculata at Kampong Kapok mangrove, Brunei. Aquatic Botany. Available at: https://www.sciencedirect.com/science/article/pii/030437709090039N",Brunei,"A study of the vertical zonation of intertidal fungi on Rhiziphora apiculata at Kampong Kapok mangrove, Brunei","Hyde, K.D.",,1990,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/030437709090039N
120,"Rutzler, K. and Feller, C. (1988). Mangrove Swamp Communities. Oceanus. Available at: https://repository.si.edu/bitstream/handle/10088/7880/iz_Ruetzler_Feller_1988.pdf",South America,Mangrove Swamp Communities,"Rutzler, K.","Feller, C.",1988,Oceanus,https://repository.si.edu/bitstream/handle/10088/7880/iz_Ruetzler_Feller_1988.pdf
121,"Jia, M. et al. (2014). Mapping the distribution of mangrove species in the Core Zone of Mai Po Marshes Nature Reserve, Hong Kong, using hyperspectral data and high-resolution data. International Journal of Applied Earth Observation and Geoinformation. Available at: https://www.sciencedirect.com/science/article/pii/S0303243414001391",Hong Kong,"Mapping the distribution of mangrove species in the Core Zone of Mai Po Marshes Nature Reserve, Hong Kong, using hyperspectral data and high-resolution data","Jia, M.",et al.,2014,International Journal of Applied Earth Observation and Geoinformation,https://www.sciencedirect.com/science/article/pii/S0303243414001391
122,"Kingston, N. and Waldren, S. (2003). The Plant Communities and Environmental Gradients of Pitcairn Island: The Significance of Invasive Species and the Need for Conservation Management. Annals of Botany. Available at: https://academic.oup.com/aob/article/92/1/31/177638",Pitcairn Islands,The Plant Communities and Environmental Gradients of Pitcairn Island: The Significance of Invasive Species and the Need for Conservation Management,"Kingston, N.","Waldren, S.",2003,Annals of Botany,https://academic.oup.com/aob/article/92/1/31/177638
123,"Woodroffe, C.D. (1987). Pacific Island Mangroves: Distribution and Environmental Settings. Pacific Science. Available at: https://pdfs.semanticscholar.org/73c9/569c1a9579f310a3a5f87688236f9cbc8f18.pdf",Pacific Islands,Pacific Island Mangroves: Distribution and Environmental Settings,"Woodroffe, C.D.",,1987,Pacific Science,https://pdfs.semanticscholar.org/73c9/569c1a9579f310a3a5f87688236f9cbc8f18.pdf
124,"Primavera, J.H. et al. (2019). Chapter 1: The Mangrove Ecosystem. World Seas: an Environmental Evaluation (Second Edition). Available at: https://www.sciencedirect.com/science/article/pii/B9780128050521000012",Global,Chapter 1: The Mangrove Ecosystem,"Primavera, J.H.",et al.,2019,World Seas: an Environmental Evaluation (Second Edition),https://www.sciencedirect.com/science/article/pii/B9780128050521000012
125,"Otero, V. et al. (2016). Mangroves at their limits: detection and area estimation of mangroves along the Sahara Destert Coast. Remote Sensing. Available at: https://www.researchgate.net/publication/304186683_Mangroves_at_Their_Limits_Detection_and_Area_Estimation_of_Mangroves_along_the_Sahara_Desert_Coast",West Africa,Mangroves at their limits: detection and area estimation of mangroves along the Sahara Destert Coast,"Otero, V.",et al.,2016,Remote Sensing,https://www.researchgate.net/publication/304186683_Mangroves_at_Their_Limits_Detection_and_Area_Estimation_of_Mangroves_along_the_Sahara_Desert_Coast
126,"Saneger, P. and Bellan, M. F. (1995). The mangrove vegetation of the Atlantic Coast of Africa: A Review. Universite de Toulouse, France. Available at: https://epubs.scu.edu.au/cgi/viewcontent.cgi?referer=https://scholar.google.co.uk/&httpsredir=1&article=1670&context=esm_pubs",West Africa,The mangrove vegetation of the Atlantic Coast of Africa: A Review,"Saneger, P.","Bellan, M. F.",1995,"Universite de Toulouse, France",https://epubs.scu.edu.au/cgi/viewcontent.cgi?referer=https://scholar.google.co.uk/&httpsredir=1&article=1670&context=esm_pubs
127,"Forestry Department, Food and Agriculture Organisation (2010). Global Forest Resources Assessment 2010 - Country Report Saint Helena. FRA2010/176. Available at: http://www.fao.org/3/al611E/al611E.pdf","St. Helena, Ascencion, Tristan da Cunha",Global Forest Resources Assessment 2010 - Country Report Saint Helena,"Forestry Department, Food and Agriculture Organisation",,2010,FRA2010/176,http://www.fao.org/3/al611E/al611E.pdf
128,United Nations Environment Programme (UNEP) (2006). Pacific Island Mangroves in a Changing Climate and Rising Sea. UNEP Regional Seas Reports and Studies No. 179. Available at: https://wedocs.unep.org/bitstream/handle/20.500.11822/11812/rsrs179.pdf?sequence=1,Pacific Islands,Pacific Island Mangroves in a Changing Climate and Rising Sea,United Nations Environment Programme (UNEP),,2006,UNEP Regional Seas Reports and Studies No. 179,https://wedocs.unep.org/bitstream/handle/20.500.11822/11812/rsrs179.pdf?sequence=1
129,"Ellison, A.M. and Farnsworth, E. J. (1996). Anthropogenic Disturbance of Caribbean mangrove ecosystems: Past impacts, present trends, and future predictions. Biotropica. Available at: https://www.jstor.org/stable/pdf/2389096.pdf?casa_token=XoBWi3WaapYAAAAA:bIBlEZWEAq518U8lxH8LHuEgruXVdO25LbXUO7AjMAV9CTHBrBrajiOyNYcErkbWX0q1dm-tZpw04fJ10PP3wg91LQyElb2fnsm0wVu5uz7VI4BRY1Er",Caribbean,"Anthropogenic Disturbance of Caribbean mangrove ecosystems: Past impacts, present trends, and future predictions","Ellison, A.M.","Farnsworth, E. J.",1996,Biotropica,https://www.jstor.org/stable/pdf/2389096.pdf?casa_token=XoBWi3WaapYAAAAA:bIBlEZWEAq518U8lxH8LHuEgruXVdO25LbXUO7AjMAV9CTHBrBrajiOyNYcErkbWX0q1dm-tZpw04fJ10PP3wg91LQyElb2fnsm0wVu5uz7VI4BRY1Er
130,"Veron, J. and Stafford-Smith, M. (2000). Corals of the World. Australian Institute of Marine Science.",Global,Corals of the World,"Veron, J.","Stafford-Smith, M.",2000,Australian Institute of Marine Science,
131,"Amir, A.A. and Duke, N. C. (2019). Distinct characteristics of canopy gaps in the subtropical mangroves of Moreton Bay, Australia. Estuarine, Coastal and Shelf Science. Available at: https://www.sciencedirect.com/science/article/pii/S0272771418301343",Australia,"Distinct characteristics of canopy gaps in the subtropical mangroves of Moreton Bay, Australia","Amir, A.A.","Duke, N. C.",2019,"Estuarine, Coastal and Shelf Science",https://www.sciencedirect.com/science/article/pii/S0272771418301343
132,Lacerda et al. (2017). Mangrove Ecosystems of Latin American and the Caribbean: a Summary. UNEP. Available at: http://wedocs.unep.org/bitstream/handle/20.500.11822/19955/Mangrove_ecosystems_of_Latin_America_and_the_C.pdf?sequence=1&isAllowed=y,Caribbean,Mangrove Ecosystems of Latin American and the Caribbean: a Summary,Lacerda,et al.,2017,UNEP,http://wedocs.unep.org/bitstream/handle/20.500.11822/19955/Mangrove_ecosystems_of_Latin_America_and_the_C.pdf?sequence=1&isAllowed=y
133,"Aung, T.T. et al. (2013). Prediction of recovery pathways of cyclone-disturbed mangroves in the mega delta of Myanmar. Froest ecology and management. Available at: https://www.sciencedirect.com/science/article/pii/S0378112712007657",Myanmar,Prediction of recovery pathways of cyclone-disturbed mangroves in the mega delta of Myanmar,"Aung, T.T.",et al.,2013,Froest ecology and management,https://www.sciencedirect.com/science/article/pii/S0378112712007657
134,"Tran, P. et al. (2017). Biomass and nutrient composition of temperate mangroves (Avicennia marina var australasica) in New Zealand. New Zealand Journal, Taylor & Francis. Available at: https://www.tandfonline.com/doi/abs/10.1080/00288330.2016.1260604",New Zealand,Biomass and nutrient composition of temperate mangroves (Avicennia marina var australasica) in New Zealand,"Tran, P.",et al.,2017,"New Zealand Journal, Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/00288330.2016.1260604
135,"Long, J. et al. (2016). Damage and recovery assessment of the Philippines' mangroves following Super Typhoon Haiyan. Marine pollution bulletin. Available at: https://www.sciencedirect.com/science/article/pii/S0025326X16304842",Philippines,Damage and recovery assessment of the Philippines' mangroves following Super Typhoon Haiyan,"Long, J.",et al.,2016,Marine pollution bulletin,https://www.sciencedirect.com/science/article/pii/S0025326X16304842
136,"Lipset, D. (2017). Masculinity and the culture of rising sea-levels in a mangrove lagoon in Papua New Guinea. Maritime studies. Available at: https://link.springer.com/article/10.1186/s40152-017-0057-5",Papua New Guinea,Masculinity and the culture of rising sea-levels in a mangrove lagoon in Papua New Guinea,"Lipset, D.",,2017,Maritime studies,https://link.springer.com/article/10.1186/s40152-017-0057-5
137,"Tang, W. et al. (2016). The assessment of mangrove biomass and carbon in West Africa: a spatially explicit analytical framework. Wetlands Ecological Management. Available at: https://link.springer.com/content/pdf/10.1007%2Fs11273-015-9474-7.pdf",West Africa,The assessment of mangrove biomass and carbon in West Africa: a spatially explicit analytical framework,"Tang, W.",et al.,2016,Wetlands Ecological Management,https://link.springer.com/content/pdf/10.1007%2Fs11273-015-9474-7.pdf
138,"Nehemia, A. and Ngendu, Y. (2019). Genetic population structure of the mangrove snails Littoraria subvittata and L. pallescens in the Western Indian Ocean. Journal of Experimental Marine Biology and Ecology. Available at: https://www.sciencedirect.com/science/article/pii/S0022098118304441",Western Indian Ocean,Genetic population structure of the mangrove snails Littoraria subvittata and L. pallescens in the Western Indian Ocean,"Nehemia, A.","Ngendu, Y.",2019,Journal of Experimental Marine Biology and Ecology,https://www.sciencedirect.com/science/article/pii/S0022098118304441
139,"Richards, D.R. and Friess, D. A. (2015). Rates and drivers of mangrove deforestation in Southeast Asia, 2000 - 2012. PNAS. Available at: https://www.pnas.org/content/pnas/113/2/344.full.pdf",Southeast Asia,"Rates and drivers of mangrove deforestation in Southeast Asia, 2000 - 2012","Richards, D.R.","Friess, D. A.",2015,PNAS,https://www.pnas.org/content/pnas/113/2/344.full.pdf
140,"Freiwald, A. and Fossa, J. H. (2004). Cold-water coral reefs: Out of sight - no longer out of mind. UNEP-WCMC.",Global,Cold-water coral reefs: Out of sight - no longer out of mind,"Freiwald, A.","Fossa, J. H.",2004,UNEP-WCMC,
141,"Roberts, J.M. and Cairns, S. D. (2014). Cold-water corals in a changing ocean. Current Opinion in Environmental Sustainability. Available at: https://www.sciencedirect.com/science/article/abs/pii/S1877343514000050",Global,Cold-water corals in a changing ocean,"Roberts, J.M.","Cairns, S. D.",2014,Current Opinion in Environmental Sustainability,https://www.sciencedirect.com/science/article/abs/pii/S1877343514000050
142,"Roberts, J.M. and Wheeler, A. J. (2006). Cold-water corals: The Biology and Geology of Deep-Sea Coral Habitats. Science. Available at: https://www.researchgate.net/publication/287314060_Cold_Water_Corals_The_Biology_and_Geology_of_Deep-Sea_Coral_Habitats",Global,Cold-water corals: The Biology and Geology of Deep-Sea Coral Habitats,"Roberts, J.M.","Wheeler, A. J.",2006,Science,https://www.researchgate.net/publication/287314060_Cold_Water_Corals_The_Biology_and_Geology_of_Deep-Sea_Coral_Habitats
143,"Mortensen, P.B. and Buhl-Mortesen, L. (2006). Distribution of deep-water corals in Atlantic Canada. Proceedings of 10th International Coral Reef Symposium 1832 - 1848. Available at: https://www.researchgate.net/profile/Lene_Buhl-Mortensen/publication/284723419_Distribution_of_deep-water_corals_in_Atlantic_Canada/links/565792f408aeafc2aac10c51/Distribution-of-deep-water-corals-in-Atlantic-Canada.pdf",Canada,Distribution of deep-water corals in Atlantic Canada,"Mortensen, P.B.","Buhl-Mortesen, L.",2006,Proceedings of 10th International Coral Reef Symposium 1832 - 1848,https://www.researchgate.net/profile/Lene_Buhl-Mortensen/publication/284723419_Distribution_of_deep-water_corals_in_Atlantic_Canada/links/565792f408aeafc2aac10c51/Distribution-of-deep-water-corals-in-Atlantic-Canada.pdf
145,"Frederiksen, R. and Jensen, A. (2011). The distribution of the scleractinian coral Lophelia pertusa around the Faroe islands and the relation to internal tidal mixing. Sarsia, V. 77, Issue 2. Available at: https://www.tandfonline.com/doi/abs/10.1080/00364827.1992.10413502",Faroe Island,The distribution of the scleractinian coral Lophelia pertusa around the Faroe islands and the relation to internal tidal mixing,"Frederiksen, R.","Jensen, A.",2011,"Sarsia, V. 77, Issue 2",https://www.tandfonline.com/doi/abs/10.1080/00364827.1992.10413502
146,"Le Guilloux, E. and Olu, K. (2009). First observations of deep-sea coral reefs along the Angola margin. Deep Sea Research Part II: Tropical Studies in Oceanography. Available at: http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.607.8093&rep=rep1&type=pdf",Angola margin,First observations of deep-sea coral reefs along the Angola margin,"Le Guilloux, E.","Olu, K.",2009,Deep Sea Research Part II: Tropical Studies in Oceanography,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.607.8093&rep=rep1&type=pdf
147,"Jorgensen, O.A. and Tendal, O. S. (2013). Preliminary mapping of the distribution of corals observed off West Greenland as inferred from bottom trawl surveys 2010 - 2012. Northwest Atlantic Fisheries Organization, Scientific Council Meeting. Available at: https://orbit.dtu.dk/files/123045670/Publishers_version.pdf",Greenland,Preliminary mapping of the distribution of corals observed off West Greenland as inferred from bottom trawl surveys 2010 - 2012,"Jorgensen, O.A.","Tendal, O. S.",2013,"Northwest Atlantic Fisheries Organization, Scientific Council Meeting",https://orbit.dtu.dk/files/123045670/Publishers_version.pdf
148,OSPAR Commission (2008). Case reports of the OSPAR List of threatened and/or declining species and habitats. OSPAR. Available at: https://www.ospar.org/site/assets/files/1892/lophelia_pertusa_reefs.pdf,OSPAR Region,Case reports of the OSPAR List of threatened and/or declining species and habitats,OSPAR Commission,,2008,OSPAR,https://www.ospar.org/site/assets/files/1892/lophelia_pertusa_reefs.pdf
149,"Imbs, A.B. and Dang, L. T. P. (2017). The molecular species of Phspholipids of the cold-water soft coral Gersemia rubiformis (Ehrenberg, 1834). Russian Journal of Marine Biology. Available at: https://link.springer.com/content/pdf/10.1134/S1063074017030051.pdf",Russia,"The molecular species of Phspholipids of the cold-water soft coral Gersemia rubiformis (Ehrenberg, 1834)","Imbs, A.B.","Dang, L. T. P.",2017,Russian Journal of Marine Biology,https://link.springer.com/content/pdf/10.1134/S1063074017030051.pdf
150,"Lutz, S.J. and Ginsburg, R. N. (2003). State of deep coral ecosystems in the Caribbean Region: Puerto Rico and the US Virgin Islands. NOAA. Available at: https://www.coris.noaa.gov/activities/deepcoral_rpt/Chapter8_Caribbean.pdf",Caribbean,State of deep coral ecosystems in the Caribbean Region: Puerto Rico and the US Virgin Islands,"Lutz, S.J.","Ginsburg, R. N.",2003,NOAA,https://www.coris.noaa.gov/activities/deepcoral_rpt/Chapter8_Caribbean.pdf
151,"Miller, K.K. and Williams, A. (2010). Conflicting estimates of connectivity among deep-sea coral populations. Marine Ecology. Available at: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1439-0485.2010.00380.x?casa_token=AVATAQXEqcsAAAAA:cbU4rZPsJpaUiU9tHZHaIGGPTXEhx4DODugupRKX3JknJbpx57IeisJYAAsd6rdkwchcVktLGOThhmbj",Oceania,Conflicting estimates of connectivity among deep-sea coral populations,"Miller, K.K.","Williams, A.",2010,Marine Ecology,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1439-0485.2010.00380.x?casa_token=AVATAQXEqcsAAAAA:cbU4rZPsJpaUiU9tHZHaIGGPTXEhx4DODugupRKX3JknJbpx57IeisJYAAsd6rdkwchcVktLGOThhmbj
152,"Qurban, M.A. and Krishnakumar, P. K. (2014). In-situ observation of deep water corals in the northern Red Sea waters of Saudi Arabia. Deep Sea Research I. Available at: https://repository.si.edu/bitstream/handle/10088/22597/iz_Deep_Water_Coral_2014.pdf?sequence=1&isAllowed=y",Saudi Arabia,In-situ observation of deep water corals in the northern Red Sea waters of Saudi Arabia,"Qurban, M.A.","Krishnakumar, P. K.",2014,Deep Sea Research I,https://repository.si.edu/bitstream/handle/10088/22597/iz_Deep_Water_Coral_2014.pdf?sequence=1&isAllowed=y
153,"Cordes, E. and Arnaud-Haond, S. (2016). Chapter 42: Cold-water corals. United Nations. Available at: https://www.un.org/Depts/los/global_reporting/WOA_RPROC/Chapter_42.pdf",Global,Chapter 42: Cold-water corals,"Cordes, E.","Arnaud-Haond, S.",2016,United Nations,https://www.un.org/Depts/los/global_reporting/WOA_RPROC/Chapter_42.pdf
154,"Haussermann, V. and Forsterra, G. (2007). Large assemblages of cold-water corals in Chile: a summary of recent findings and potential impacts. George, R. Y. and S. D. Cairns, eds. 2007. Conservation and adaptive 195 management of seamount and deep-sea coral ecosystems. Rosenstiel School of Marine and Atmospheric Science, University of Miami.. Available at: https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2007/00000081/a00103s1/art00018?crawler=true&casa_token=vepkYQiSQF0AAAAA:X7IqHUJ6fnC6TFNEk3GZaH9uV38XV5ZuFNmXeTjrUcChRPiuj7u9Xn5Lp9sukpJ33FKPME_Dq1AE0J0c",Chile,Large assemblages of cold-water corals in Chile: a summary of recent findings and potential impacts,"Haussermann, V.","Forsterra, G.",2007,"George, R. Y. and S. D. Cairns, eds. 2007. Conservation and adaptive 195 management of seamount and deep-sea coral ecosystems. Rosenstiel School of Marine and Atmospheric Science, University of Miami.",https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2007/00000081/a00103s1/art00018?crawler=true&casa_token=vepkYQiSQF0AAAAA:X7IqHUJ6fnC6TFNEk3GZaH9uV38XV5ZuFNmXeTjrUcChRPiuj7u9Xn5Lp9sukpJ33FKPME_Dq1AE0J0c
155,"Cairns, S.D. (1977). Memoirs of the Hourglass Cruises. Marine Research Laboratory Florida Department of Natural Resources. Available at: https://repository.si.edu/bitstream/handle/10088/7219/IZ_1977_Cairns_Hourglass.pdf",Caribbean,Memoirs of the Hourglass Cruises,"Cairns, S.D.",,1977,Marine Research Laboratory Florida Department of Natural Resources,https://repository.si.edu/bitstream/handle/10088/7219/IZ_1977_Cairns_Hourglass.pdf
156,"Etnoyer, P.J. et al. (2015). Exploration and Mapping of the deep Mesoamerican Reef. Oceanography. Available at: https://www.researchgate.net/profile/Michael_Brennan7/publication/274072842_Exploration_and_Mapping_of_the_Deep_Mesoamerican_Reef/links/55144f050cf2eda0df30bc86.pdf",Mesoamerican Reef,Exploration and Mapping of the deep Mesoamerican Reef,"Etnoyer, P.J.",et al.,2015,Oceanography,https://www.researchgate.net/profile/Michael_Brennan7/publication/274072842_Exploration_and_Mapping_of_the_Deep_Mesoamerican_Reef/links/55144f050cf2eda0df30bc86.pdf
157,"Cordeiro, R. T. S. and Castro, C. B. (2015). Deep-water octocorals (Cnidaria: Octocorallia) from Brazil: Family Chrysogorgiidae Verrill, 1883. Zootaxa. Available at: https://www.researchgate.net/profile/Carlos_Perez67/publication/286920358_Deep-water_octocorals_Cnidaria_Octocorallia_from_Brazil_Family_Chrysogorgiidae_Verrill_1883/links/56701b0408aececfd5530dd6/Deep-water-octocorals-Cnidaria-Octocorallia-from-Brazil-Family-Chrysogorgiidae-Verrill-1883.pdf",Brazil,"Deep-water octocorals (Cnidaria: Octocorallia) from Brazil: Family Chrysogorgiidae Verrill, 1883","Cordeiro, R. T. S.","Castro, C. B.",2015,Zootaxa,https://www.researchgate.net/profile/Carlos_Perez67/publication/286920358_Deep-water_octocorals_Cnidaria_Octocorallia_from_Brazil_Family_Chrysogorgiidae_Verrill_1883/links/56701b0408aececfd5530dd6/Deep-water-octocorals-Cnidaria-Octocorallia-from-Brazil-Family-Chrysogorgiidae-Verrill-1883.pdf
158,"Montagna, P. et al. (2005). High-resolution trace and minor element compositions in deep-water scleratctinian corals (Desmophyllum dianthus) from the Mediterranean Sea and the Great Australian Bight. Cold-water corals and ecosystems. Available at: https://www.researchgate.net/profile/Marco_Taviani/publication/227048932_High-resolution_trace_and_minor_element_compositions_in_deep-water_scleractinian_corals_Desmophyllum_dianthus_from_the_Mediterranean_Sea_and_the_Great_Australian_Bight/links/0912f4ffacaef5bc0d000000.pdf",Italy,High-resolution trace and minor element compositions in deep-water scleratctinian corals (Desmophyllum dianthus) from the Mediterranean Sea and the Great Australian Bight,"Montagna, P.",et al.,2005,Cold-water corals and ecosystems,https://www.researchgate.net/profile/Marco_Taviani/publication/227048932_High-resolution_trace_and_minor_element_compositions_in_deep-water_scleractinian_corals_Desmophyllum_dianthus_from_the_Mediterranean_Sea_and_the_Great_Australian_Bight/links/0912f4ffacaef5bc0d000000.pdf
159,"Hall-Spencer, J. et al. (2007). Deep-sea coral distribution on seamounts, oceanic islands, and continental slopes in the Northeast Atlantic. Conservation and adaptive management of seamount and deep-sea coral ecosystems. Rosenstiel School of Marine and Atmospheric Science, University of Miami. Available at: https://www.ingentaconnect.com/content/umrsmas/bullmar/2007/00000081/a00103s1/art00013?crawler=true",North-East Atlantic - potentially a lot of data!!!,"Deep-sea coral distribution on seamounts, oceanic islands, and continental slopes in the Northeast Atlantic","Hall-Spencer, J.",et al.,2007,"Conservation and adaptive management of seamount and deep-sea coral ecosystems. Rosenstiel School of Marine and Atmospheric Science, University of Miami",https://www.ingentaconnect.com/content/umrsmas/bullmar/2007/00000081/a00103s1/art00013?crawler=true
160,"Hoeksema, B.W. (2012). Forever in the dark: the cave-dwelling azooxanthellate reef coral Leptoseris troglodyta sp. N. (Scleractinia, Agariciidae). Zookeys. Available at: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3487639/",Pacific,"Forever in the dark: the cave-dwelling azooxanthellate reef coral Leptoseris troglodyta sp. N. (Scleractinia, Agariciidae)","Hoeksema, B.W.",,2012,Zookeys,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3487639/
161,"UNEP-WCMC, WorldFish Centre, WRI, TNC (2018). Global distribution of warm-water coral reefs, compiled from multiple sources including the Millennium Coral Reef Mapping Project. Version 4.0. Includes contributions from IMaRS-USF and IRD (2005), IMaRS-USF (2005) and Spalding et al. (2001). Cambridge (UK): UN Environment World Conservation Monitoring Centre. URL: http://data.unep-wcmc.org/datasets/1",Global,"Global distribution of warm-water coral reefs, compiled from multiple sources including the Millennium Coral Reef Mapping Project. Version 4.0. Includes contributions from IMaRS-USF and IRD (2005), IMaRS-USF (2005) and Spalding et al. (2001)",UNEP-WCMC,WorldFish Centre,2018,UN Environment World Conservation Monitoring Centre,http://data.unep-wcmc.org/datasets/1
162,"Freiwald A, Rogers A, Hall-Spencer J, Guinotte JM, Davies AJ, Yesson C, Martin CS, Weatherdon LV (2017). Global distribution of cold-water corals (version 5.0). Fifth update to the dataset in Freiwald et al. (2004) by UNEP-WCMC, in collaboration with Andre Freiwald and John Guinotte. Cambridge (UK): UN Environment World Conservation Monitoring Centre. URL: http://data.unep-wcmc.org/datasets/3",Global,"Global distribution of cold-water corals (version 5.0). Fifth update to the dataset in Freiwald et al. (2004) by UNEP-WCMC, in collaboration with Andre Freiwald and John Guinotte","Freiwald, A.",et al.,2017,UN Environment World Conservation Monitoring Centre,http://data.unep-wcmc.org/datasets/3
163,"Mcowen C, Weatherdon LV, Bochove J, Sullivan E, Blyth S, Zockler C, Stanwell-Smith D, Kingston N, Martin CS, Spalding M, Fletcher S (2017). A global map of saltmarshes. Biodiversity Data Journal 5: e11764. Paper DOI: https://doi.org/10.3897/BDJ.5.e11764; Data URL: http://data.unep-wcmc.org/datasets/43 (v.6)",Global, A global map of saltmarshes,"Mcowen, C.",et al.,2017,Biodiversity Data Journal,http://data.unep-wcmc.org/datasets/43
164,"Bunting P., Rosenqvist A., Lucas R., Rebelo L-M., Hilarides L., Thomas N., Hardy A., Itoh T., Shimada M. and Finlayson C.M. (2018). The Global Mangrove Watch – a New 2010 Global Baseline of Mangrove Extent. Remote Sensing 10(10): 1669. doi: 10.3390/rs1010669.",Global,The Global Mangrove Watch – a New 2010 Global Baseline of Mangrove Extent,"Bunting, P.",et al.,2018,Remote Sensing,https://data.unep-wcmc.org/datasets/45
